               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,           0.0039068,           0.0031603,                   0,             0.99994,                   1,               0.995,             0.99486,           0.0006096,           0.0040472,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0038288,           0.0031097,                   0,             0.99994,                   1,               0.995,             0.99481,          0.00059625,           0.0039234,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0038183,           0.0030296,                   0,             0.99994,                   1,               0.995,             0.99483,          0.00060506,           0.0040438,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0037239,           0.0030299,                   0,             0.99994,                   1,               0.995,             0.99482,          0.00058463,            0.003938,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0036686,           0.0030562,                   0,             0.99994,                   1,               0.995,             0.99482,          0.00052964,           0.0035669,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0035093,           0.0029953,                   0,             0.99994,                   1,               0.995,             0.99496,          0.00054763,           0.0035622,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.003492,           0.0029414,                   0,             0.99994,                   1,               0.995,             0.99487,           0.0005649,           0.0036697,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0034952,            0.002875,                   0,             0.99994,                   1,               0.995,             0.99485,          0.00051602,           0.0036322,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.00342,           0.0029004,                   0,             0.99994,                   1,               0.995,              0.9949,          0.00053641,           0.0036722,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0034224,           0.0029107,                   0,             0.99994,                   1,               0.995,             0.99485,          0.00054931,           0.0036922,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0032832,           0.0028829,                   0,             0.99994,                   1,               0.995,             0.99489,          0.00050235,           0.0037612,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0032397,           0.0028386,                   0,             0.99994,                   1,               0.995,              0.9949,          0.00053655,           0.0037717,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0032189,           0.0028354,                   0,             0.99994,                   1,               0.995,             0.99497,          0.00054367,           0.0036808,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0031615,           0.0028137,                   0,             0.99994,                   1,               0.995,              0.9949,          0.00054696,           0.0038137,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0030088,           0.0027073,                   0,             0.99994,                   1,               0.995,             0.99483,          0.00055137,           0.0040326,                   0,            0.000298,            0.000298,            0.000298
